epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,461.239,2.87511,5.21687,0.00284,0.04365,0.0432,0.01187,0.00358,2.38855,3.70012,0.00249,5.29413e-05,5.29413e-05,5.29413e-05
2,625.268,2.45145,3.48327,0.00212,0.15089,0.05167,0.01818,0.00582,2.2906,3.183,0.00235,0.00010463,0.00010463,0.00010463
3,789.211,2.39147,3.21047,0.00201,0.12473,0.05958,0.01822,0.00579,2.25163,3.06534,0.0023,0.000155008,0.000155008,0.000155008
4,950.963,2.3619,3.09349,0.002,0.11898,0.0654,0.02294,0.00738,2.23829,2.9391,0.00228,0.000153097,0.000153097,0.000153097
5,1114.6,2.35511,3.00493,0.00198,0.12759,0.06412,0.02484,0.00818,2.23643,2.92771,0.00228,0.000151129,0.000151129,0.000151129
6,1277.33,2.34494,2.95247,0.00195,0.15014,0.08181,0.02902,0.00923,2.21768,2.87371,0.00226,0.000149162,0.000149162,0.000149162
7,1441.51,2.33115,2.89228,0.00189,0.19627,0.08709,0.03322,0.01106,2.22222,2.85432,0.00226,0.000147194,0.000147194,0.000147194
8,1604.51,2.3151,2.85595,0.00193,0.11636,0.08775,0.0336,0.01175,2.21047,2.8319,0.00224,0.000145227,0.000145227,0.000145227
9,1766.77,2.31148,2.84723,0.00196,0.12496,0.10526,0.03527,0.01212,2.20542,2.79155,0.00224,0.000143259,0.000143259,0.000143259
10,1932.13,2.32978,2.8281,0.00192,0.18733,0.10069,0.03611,0.01263,2.19553,2.81935,0.00224,0.000141291,0.000141291,0.000141291
11,2094.95,2.29928,2.77219,0.00185,0.12457,0.09914,0.03528,0.0121,2.19461,2.78149,0.00221,0.000139324,0.000139324,0.000139324
12,2319.3,2.29948,2.76346,0.00187,0.17746,0.09922,0.03883,0.01292,2.19281,2.75209,0.00222,0.000137356,0.000137356,0.000137356
13,2483.69,2.2922,2.7687,0.00188,0.06458,0.10804,0.03555,0.01199,2.19328,2.78184,0.00222,0.000135388,0.000135388,0.000135388
14,2646.77,2.28847,2.73653,0.0019,0.37545,0.10086,0.04321,0.0144,2.19055,2.7565,0.00221,0.000133421,0.000133421,0.000133421
15,2903.29,2.30106,2.73672,0.00187,0.21926,0.09947,0.0406,0.0137,2.19579,2.75914,0.00223,0.000131453,0.000131453,0.000131453
16,3067.07,2.29095,2.72537,0.00189,0.22589,0.10342,0.04052,0.01422,2.18207,2.78712,0.0022,0.000129486,0.000129486,0.000129486
17,3229.06,2.27964,2.70058,0.00186,0.2055,0.10777,0.04319,0.01482,2.19231,2.71224,0.00221,0.000127518,0.000127518,0.000127518
18,3392.48,2.28748,2.71418,0.0019,0.25309,0.10162,0.04043,0.01371,2.1856,2.74696,0.00219,0.00012555,0.00012555,0.00012555
19,3555.05,2.28189,2.67868,0.00186,0.17687,0.11087,0.04055,0.01336,2.18344,2.72353,0.00221,0.000123583,0.000123583,0.000123583
20,3716.98,2.26149,2.65816,0.00186,0.1857,0.11182,0.04181,0.01429,2.18724,2.72097,0.00221,0.000121615,0.000121615,0.000121615
21,3878.52,2.25091,2.6537,0.00188,0.07983,0.12029,0.04202,0.01391,2.18532,2.77047,0.00222,0.000119647,0.000119647,0.000119647
22,4042.63,2.28453,2.66343,0.00185,0.17147,0.12546,0.04246,0.01449,2.17222,2.73731,0.00219,0.00011768,0.00011768,0.00011768
23,4205.06,2.26001,2.6373,0.00185,0.23916,0.10588,0.04967,0.01806,2.18413,2.74989,0.00222,0.000115712,0.000115712,0.000115712
24,4367.36,2.27266,2.6131,0.00183,0.16705,0.12292,0.04576,0.0159,2.17763,2.75245,0.0022,0.000113745,0.000113745,0.000113745
25,4528.61,2.24317,2.62699,0.00185,0.1332,0.13086,0.04669,0.01602,2.1841,2.72356,0.0022,0.000111777,0.000111777,0.000111777
26,4691.55,2.246,2.6139,0.00184,0.23253,0.12154,0.0454,0.01505,2.19629,2.69969,0.00223,0.000109809,0.000109809,0.000109809
27,4855.35,2.26872,2.62107,0.00183,0.21025,0.11938,0.04887,0.01692,2.18499,2.70226,0.00221,0.000107842,0.000107842,0.000107842
28,5017.68,2.2586,2.61699,0.00186,0.11015,0.13137,0.04632,0.01556,2.18464,2.72572,0.00222,0.000105874,0.000105874,0.000105874
29,5180.94,2.24916,2.5971,0.00183,0.19047,0.12064,0.04882,0.01726,2.18775,2.71839,0.00221,0.000103906,0.000103906,0.000103906
30,5343.33,2.23948,2.58196,0.00183,0.23868,0.1246,0.04965,0.0173,2.18305,2.71169,0.00222,0.000101939,0.000101939,0.000101939
31,5522.39,2.25421,2.56542,0.00181,0.11853,0.12797,0.04895,0.01744,2.17343,2.70228,0.0022,9.99712e-05,9.99712e-05,9.99712e-05
32,5684.83,2.2331,2.58897,0.00185,0.19385,0.12291,0.0504,0.0177,2.18007,2.75889,0.00221,9.80036e-05,9.80036e-05,9.80036e-05
33,5847.27,2.24159,2.56465,0.00184,0.08817,0.14035,0.04997,0.01713,2.1837,2.73181,0.0022,9.6036e-05,9.6036e-05,9.6036e-05
34,6010.4,2.23259,2.5607,0.00183,0.2032,0.11845,0.05192,0.01839,2.18017,2.7237,0.0022,9.40684e-05,9.40684e-05,9.40684e-05
35,6175.19,2.24751,2.54689,0.00179,0.09414,0.13185,0.049,0.01772,2.1745,2.7103,0.0022,9.21007e-05,9.21007e-05,9.21007e-05
36,6338.76,2.25357,2.5487,0.00179,0.11747,0.12358,0.04726,0.01603,2.16903,2.69659,0.0022,9.01331e-05,9.01331e-05,9.01331e-05
37,6501.53,2.23308,2.55249,0.00183,0.11994,0.13181,0.05,0.01762,2.18544,2.68735,0.00223,8.81655e-05,8.81655e-05,8.81655e-05
38,6717.21,2.22676,2.52595,0.00184,0.08916,0.13137,0.04991,0.01697,2.18294,2.69809,0.00221,8.61979e-05,8.61979e-05,8.61979e-05
39,6880.08,2.23615,2.5284,0.00182,0.14427,0.12095,0.05061,0.01855,2.18222,2.70369,0.00222,8.42303e-05,8.42303e-05,8.42303e-05
40,7043.46,2.22617,2.52251,0.00182,0.16133,0.12714,0.051,0.01719,2.1908,2.71589,0.00222,8.22626e-05,8.22626e-05,8.22626e-05
41,7207.74,2.23586,2.53307,0.00181,0.1382,0.12807,0.05192,0.01843,2.17996,2.70523,0.00221,8.0295e-05,8.0295e-05,8.0295e-05
42,7370.77,2.22051,2.49027,0.00178,0.14111,0.12528,0.05067,0.01808,2.17145,2.6945,0.0022,7.83274e-05,7.83274e-05,7.83274e-05
43,7533.21,2.21859,2.49737,0.00179,0.16116,0.11926,0.05196,0.01834,2.18159,2.71944,0.00221,7.63597e-05,7.63597e-05,7.63597e-05
44,7697.25,2.2181,2.49605,0.0018,0.12378,0.12497,0.04863,0.01648,2.19866,2.7122,0.00225,7.43921e-05,7.43921e-05,7.43921e-05
45,7922.2,2.21542,2.46932,0.00177,0.21518,0.12206,0.05309,0.01842,2.18881,2.73329,0.00223,7.24245e-05,7.24245e-05,7.24245e-05
46,8084.81,2.21568,2.49084,0.0018,0.14983,0.1317,0.05083,0.0175,2.18571,2.74083,0.00223,7.04569e-05,7.04569e-05,7.04569e-05
47,8248.12,2.20862,2.4765,0.00176,0.17645,0.12108,0.05011,0.0178,2.18467,2.71316,0.00222,6.84893e-05,6.84893e-05,6.84893e-05
48,8410.6,2.21268,2.47564,0.00181,0.17554,0.12212,0.0528,0.01815,2.18541,2.70575,0.00223,6.65216e-05,6.65216e-05,6.65216e-05
49,8572.87,2.20887,2.47236,0.0018,0.13636,0.12162,0.04942,0.01686,2.19233,2.7266,0.00222,6.4554e-05,6.4554e-05,6.4554e-05
50,8734.59,2.20935,2.4456,0.00179,0.14364,0.12531,0.04939,0.01671,2.17855,2.72794,0.00222,6.25864e-05,6.25864e-05,6.25864e-05
51,8897.97,2.20021,2.45306,0.00181,0.2122,0.12572,0.05116,0.01751,2.18552,2.70361,0.00222,6.06187e-05,6.06187e-05,6.06187e-05
52,9061.29,2.21116,2.45691,0.00182,0.16864,0.12633,0.05274,0.01838,2.18597,2.71774,0.00222,5.86511e-05,5.86511e-05,5.86511e-05
53,9224.59,2.20693,2.45054,0.00178,0.19686,0.12474,0.05113,0.01737,2.18254,2.71401,0.00221,5.66835e-05,5.66835e-05,5.66835e-05
54,9386.36,2.20058,2.43899,0.00177,0.16154,0.13537,0.05139,0.01706,2.18883,2.70804,0.00222,5.47159e-05,5.47159e-05,5.47159e-05
55,9549.69,2.20982,2.42686,0.00177,0.14775,0.13103,0.05064,0.01713,2.19617,2.73357,0.00222,5.27482e-05,5.27482e-05,5.27482e-05
56,9712.26,2.19553,2.41399,0.00176,0.16945,0.13328,0.04953,0.01642,2.18482,2.73003,0.00222,5.07806e-05,5.07806e-05,5.07806e-05
57,9875.16,2.20417,2.42708,0.00177,0.18039,0.13428,0.05184,0.01768,2.18688,2.72522,0.00223,4.8813e-05,4.8813e-05,4.8813e-05
58,10037.5,2.19726,2.41424,0.00176,0.13209,0.1337,0.05429,0.01921,2.18,2.7207,0.00221,4.68454e-05,4.68454e-05,4.68454e-05
59,10200.8,2.19296,2.42191,0.00178,0.17447,0.12641,0.05425,0.01874,2.18606,2.72149,0.00223,4.48777e-05,4.48777e-05,4.48777e-05
60,10363.9,2.18399,2.41937,0.00177,0.18065,0.13093,0.05565,0.01872,2.19107,2.73131,0.00224,4.29101e-05,4.29101e-05,4.29101e-05
61,10526.5,2.17971,2.40635,0.00177,0.16817,0.13287,0.04932,0.0168,2.18537,2.72817,0.00223,4.09425e-05,4.09425e-05,4.09425e-05
62,10689,2.1909,2.40634,0.00175,0.16758,0.13735,0.04952,0.01686,2.19094,2.73046,0.00224,3.89749e-05,3.89749e-05,3.89749e-05
63,10851.3,2.1843,2.3997,0.00175,0.19866,0.12628,0.05179,0.01739,2.18677,2.73512,0.00222,3.70072e-05,3.70072e-05,3.70072e-05
64,11015.2,2.18506,2.37811,0.00175,0.2494,0.12579,0.05061,0.01721,2.18835,2.73965,0.00223,3.50396e-05,3.50396e-05,3.50396e-05
65,11177.9,2.18913,2.37521,0.00172,0.24129,0.11979,0.05147,0.01747,2.18548,2.74201,0.00222,3.3072e-05,3.3072e-05,3.3072e-05
66,11340.7,2.18308,2.38053,0.00172,0.21861,0.12733,0.05098,0.01713,2.18983,2.74068,0.00223,3.11044e-05,3.11044e-05,3.11044e-05
67,11503.6,2.1831,2.35926,0.0017,0.20473,0.12914,0.05203,0.01755,2.18978,2.72655,0.00223,2.91368e-05,2.91368e-05,2.91368e-05
68,11666.6,2.17256,2.37895,0.00176,0.2212,0.12814,0.05255,0.01735,2.18865,2.72883,0.00223,2.71691e-05,2.71691e-05,2.71691e-05
