epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,762.157,2.58855,1.65987,0.94627,0.17299,0.10308,0.04431,0.01373,2.99247,2.24862,1.02193,9.44619e-05,9.44619e-05,9.44619e-05
43,779.031,2.58003,1.65243,0.94362,0.19747,0.10179,0.04379,0.01354,2.98214,2.22642,1.01271,9.28878e-05,9.28878e-05,9.28878e-05
44,796.212,2.57579,1.63916,0.93938,0.19517,0.10777,0.04748,0.01472,2.97885,2.19911,1.01664,9.13137e-05,9.13137e-05,9.13137e-05
45,813.116,2.56161,1.61422,0.9376,0.15724,0.09971,0.04237,0.01318,2.98535,2.27476,1.02103,8.97396e-05,8.97396e-05,8.97396e-05
46,830.051,2.56233,1.61624,0.93271,0.19629,0.09922,0.04582,0.0136,2.9801,2.21732,1.01427,8.81655e-05,8.81655e-05,8.81655e-05
47,846.948,2.55433,1.61186,0.93553,0.16438,0.10091,0.04244,0.01339,3.00339,2.21814,0.99402,8.65914e-05,8.65914e-05,8.65914e-05
48,863.965,2.55586,1.59804,0.93324,0.16408,0.10147,0.0454,0.01378,2.99422,2.21586,1.01044,8.50173e-05,8.50173e-05,8.50173e-05
49,880.974,2.53209,1.59021,0.93735,0.16616,0.09594,0.04515,0.01435,2.99924,2.23838,1.01526,8.34432e-05,8.34432e-05,8.34432e-05
50,897.914,2.51181,1.57221,0.93583,0.18299,0.10304,0.04211,0.01306,3.0086,2.24631,1.01952,8.18691e-05,8.18691e-05,8.18691e-05
51,915.06,2.5261,1.56602,0.92361,0.20346,0.09204,0.04103,0.01295,2.99463,2.22144,1.01364,8.0295e-05,8.0295e-05,8.0295e-05
52,932.088,2.51535,1.55154,0.92447,0.22147,0.10497,0.04621,0.01368,2.99186,2.23889,1.01259,7.87209e-05,7.87209e-05,7.87209e-05
53,949.17,2.52334,1.5422,0.91937,0.19967,0.10072,0.0435,0.01344,2.99916,2.24478,1.02391,7.71468e-05,7.71468e-05,7.71468e-05
54,966.038,2.48917,1.52548,0.92311,0.14208,0.10228,0.04186,0.01318,3.01636,2.28228,1.03167,7.55727e-05,7.55727e-05,7.55727e-05
55,983.028,2.49067,1.52852,0.92538,0.18105,0.09379,0.04164,0.01284,2.99883,2.2515,1.02203,7.39986e-05,7.39986e-05,7.39986e-05
56,999.822,2.47016,1.5148,0.92683,0.17006,0.10436,0.04604,0.01378,3.00416,2.25656,1.01477,7.24245e-05,7.24245e-05,7.24245e-05
57,1016.77,2.47597,1.50701,0.91829,0.18555,0.10309,0.04211,0.01292,3.0156,2.28108,1.03573,7.08504e-05,7.08504e-05,7.08504e-05
58,1033.7,2.46502,1.50231,0.91687,0.20212,0.10097,0.04356,0.01379,3.00487,2.25941,1.0218,6.92763e-05,6.92763e-05,6.92763e-05
59,1050.63,2.45637,1.49862,0.92067,0.16486,0.09666,0.04089,0.01238,2.99893,2.27129,1.02295,6.77022e-05,6.77022e-05,6.77022e-05
60,1067.48,2.44041,1.4863,0.92289,0.15788,0.09837,0.04076,0.01262,3.02333,2.27295,1.02293,6.61281e-05,6.61281e-05,6.61281e-05
61,1084.53,2.44243,1.47177,0.91238,0.18879,0.09392,0.04241,0.01309,3.01979,2.28604,1.03171,6.4554e-05,6.4554e-05,6.4554e-05
62,1101.48,2.44113,1.47427,0.91943,0.14932,0.10771,0.04232,0.01315,3.01348,2.2742,1.01755,6.29799e-05,6.29799e-05,6.29799e-05
63,1118.44,2.4246,1.45303,0.91048,0.18364,0.10082,0.04145,0.01225,3.00775,2.28747,1.02546,6.14058e-05,6.14058e-05,6.14058e-05
64,1135.43,2.42853,1.46012,0.91178,0.22114,0.09873,0.04431,0.01352,3.01993,2.27623,1.02861,5.98317e-05,5.98317e-05,5.98317e-05
65,1152.33,2.4106,1.44147,0.9117,0.12135,0.09689,0.04432,0.01325,3.01557,2.28776,1.02576,5.82576e-05,5.82576e-05,5.82576e-05
66,1169.19,2.42016,1.44744,0.90954,0.18704,0.09247,0.04179,0.01233,3.01563,2.27831,1.02719,5.66835e-05,5.66835e-05,5.66835e-05
67,1186.03,2.39543,1.4258,0.9126,0.19603,0.09919,0.04234,0.01267,3.02288,2.284,1.03377,5.51094e-05,5.51094e-05,5.51094e-05
68,1203.16,2.40637,1.42503,0.9026,0.15929,0.1006,0.04021,0.01191,3.02849,2.30423,1.03636,5.35353e-05,5.35353e-05,5.35353e-05
69,1220.11,2.38203,1.40744,0.90923,0.1962,0.09934,0.04281,0.01282,3.02969,2.29926,1.03464,5.19612e-05,5.19612e-05,5.19612e-05
70,1237.06,2.38494,1.40982,0.9017,0.18773,0.10663,0.04673,0.01359,3.02571,2.28681,1.03455,5.03871e-05,5.03871e-05,5.03871e-05
71,1253.9,2.36916,1.40676,0.91022,0.20807,0.09718,0.04338,0.01262,3.041,2.29653,1.03216,4.8813e-05,4.8813e-05,4.8813e-05
72,1270.98,2.36444,1.3928,0.90373,0.16589,0.09937,0.04258,0.01294,3.05169,2.3143,1.02915,4.72389e-05,4.72389e-05,4.72389e-05
73,1287.85,2.3627,1.39294,0.90088,0.18455,0.0978,0.0407,0.01187,3.04119,2.29049,1.03235,4.56648e-05,4.56648e-05,4.56648e-05
74,1304.84,2.34596,1.37188,0.90088,0.12397,0.10378,0.04145,0.01209,3.03648,2.28241,1.02887,4.40907e-05,4.40907e-05,4.40907e-05
75,1321.71,2.3414,1.37578,0.89773,0.18598,0.10814,0.04157,0.01248,3.03855,2.28995,1.02755,4.25166e-05,4.25166e-05,4.25166e-05
76,1338.7,2.33294,1.36806,0.90072,0.11455,0.10142,0.0418,0.01267,3.04187,2.29282,1.03238,4.09425e-05,4.09425e-05,4.09425e-05
77,1355.63,2.3286,1.36331,0.89486,0.16239,0.09955,0.03953,0.01143,3.041,2.29702,1.03409,3.93684e-05,3.93684e-05,3.93684e-05
