epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,87.4977,3.58315,4.59274,0.00753,0.37586,0.02599,0.00646,0.0019,3.25992,3.09782,0.00531,5.28827e-05,5.28827e-05,5.28827e-05
2,154.854,3.28732,2.9186,0.00476,0.2379,0.03083,0.01488,0.00447,3.16988,2.71888,0.0049,0.000104572,0.000104572,0.000104572
3,221.742,3.19577,2.71921,0.00435,0.27732,0.04452,0.01762,0.00542,3.12144,2.5764,0.00458,0.00015495,0.00015495,0.00015495
