epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,332.441,2.86033,5.25896,0.0028,0.22332,0.0421,0.01105,0.00326,2.39542,3.71477,0.0025,5.29413e-05,5.29413e-05,5.29413e-05
2,494.479,2.43914,3.46458,0.00209,0.05068,0.06256,0.02011,0.0066,2.28266,3.22361,0.00233,0.00010463,0.00010463,0.00010463
3,1008.46,2.37219,3.18192,0.00202,0.0431,0.06357,0.02118,0.0069,2.25476,3.03893,0.00232,0.000155008,0.000155008,0.000155008
4,1169.44,2.36313,3.05945,0.002,0.118,0.0589,0.0203,0.00639,2.24983,2.99309,0.00229,0.000153097,0.000153097,0.000153097
5,2184.82,2.32367,2.99333,0.00196,0.11501,0.06528,0.02448,0.00803,2.23771,2.93151,0.00229,0.000151129,0.000151129,0.000151129
6,2344.61,2.3266,2.89354,0.00192,0.17819,0.07456,0.02827,0.00875,2.24016,2.85352,0.0023,0.000149162,0.000149162,0.000149162
7,2506.53,2.33181,2.89679,0.00192,0.05878,0.07859,0.02874,0.00936,2.21961,2.8914,0.00227,0.000147194,0.000147194,0.000147194
8,2667.05,2.31207,2.85132,0.00196,0.22827,0.0951,0.03647,0.01223,2.21639,2.80404,0.00226,0.000145227,0.000145227,0.000145227
9,2828.79,2.32523,2.81362,0.00193,0.17884,0.08915,0.03238,0.01069,2.22763,2.85464,0.00225,0.000143259,0.000143259,0.000143259
10,2990.24,2.30925,2.808,0.00189,0.11096,0.11029,0.03765,0.01232,2.21259,2.78699,0.00225,0.000141291,0.000141291,0.000141291
11,3150.86,2.28957,2.76236,0.00191,0.21545,0.11266,0.03926,0.01339,2.21037,2.7812,0.00224,0.000139324,0.000139324,0.000139324
12,3312.83,2.29689,2.73768,0.00188,0.20448,0.10962,0.03847,0.01312,2.20404,2.76309,0.00223,0.000137356,0.000137356,0.000137356
13,3474.09,2.30002,2.72471,0.00186,0.24587,0.0967,0.04034,0.0132,2.19612,2.76635,0.00223,0.000135388,0.000135388,0.000135388
14,3634.69,2.25388,2.70134,0.00189,0.24858,0.09815,0.04117,0.01423,2.19554,2.74577,0.00223,0.000133421,0.000133421,0.000133421
15,3796.59,2.2887,2.70066,0.00189,0.37295,0.09732,0.04806,0.01628,2.19967,2.78911,0.00223,0.000131453,0.000131453,0.000131453
