epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,471.423,2.87516,5.21688,0.00285,0.06627,0.04321,0.01182,0.00355,2.38924,3.70135,0.00249,5.29413e-05,5.29413e-05,5.29413e-05
2,635.976,2.44812,3.48525,0.00212,0.07939,0.05557,0.01842,0.00585,2.29074,3.18936,0.00235,0.00010463,0.00010463,0.00010463
3,799.411,2.39154,3.20774,0.002,0.12632,0.05586,0.01858,0.00598,2.2699,3.08678,0.00231,0.000155008,0.000155008,0.000155008
4,961.442,2.3597,3.09322,0.00199,0.12287,0.06409,0.02284,0.00704,2.23998,2.94336,0.00228,0.000153097,0.000153097,0.000153097
5,1124,2.34964,3.01263,0.00197,0.14862,0.06594,0.02485,0.00826,2.23167,2.93975,0.00228,0.000151129,0.000151129,0.000151129
6,1286.84,2.34609,2.946,0.00194,0.12862,0.07816,0.0279,0.00903,2.22663,2.86058,0.00228,0.000149162,0.000149162,0.000149162
7,1450.41,2.32829,2.89861,0.00189,0.21012,0.08145,0.03053,0.0102,2.21589,2.88956,0.00226,0.000147194,0.000147194,0.000147194
8,1613,2.31356,2.86265,0.00193,0.08682,0.08998,0.03212,0.01119,2.21141,2.85776,0.00224,0.000145227,0.000145227,0.000145227
9,1775.12,2.31247,2.84793,0.00197,0.0579,0.10238,0.03336,0.01133,2.20597,2.82337,0.00224,0.000143259,0.000143259,0.000143259
10,1940.86,2.33125,2.82264,0.00192,0.25017,0.10043,0.03378,0.01144,2.19941,2.81065,0.00224,0.000141291,0.000141291,0.000141291
11,2103.87,2.30621,2.76544,0.00185,0.08767,0.10281,0.03627,0.01235,2.20521,2.77882,0.00223,0.000139324,0.000139324,0.000139324
12,2326.32,2.30184,2.75998,0.00187,0.2729,0.09529,0.03681,0.01202,2.1989,2.75043,0.00223,0.000137356,0.000137356,0.000137356
