epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,19036.7,2.08166,2.53478,0.01064,0.30032,0.26674,0.17381,0.06273,1.90771,2.64709,0.01142,0.0213671,0.00712237,0.0213671,0.00712237,0.0213671,0.00712237,0.0213671,0.00712237
31,19669.2,2.08685,2.53295,0.01064,0.30117,0.26899,0.17383,0.06285,1.90784,2.64667,0.01142,0.0208328,0.00694428,0.0208328,0.00694428,0.0208328,0.00694428,0.0208328,0.00694428
32,20298.2,2.07654,2.52606,0.01063,0.30164,0.26795,0.1739,0.06292,1.90721,2.64627,0.01141,0.0202898,0.00676328,0.0202898,0.00676328,0.0202898,0.00676328,0.0202898,0.00676328
33,20925.2,2.07448,2.51589,0.01065,0.30436,0.26731,0.17405,0.06292,1.90689,2.645,0.01142,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963
34,21552.3,2.07319,2.50928,0.01062,0.30364,0.26846,0.17386,0.06285,1.90766,2.64386,0.01142,0.0191809,0.00639363,0.0191809,0.00639363,0.0191809,0.00639363,0.0191809,0.00639363
35,22178.5,2.06867,2.49849,0.01056,0.30189,0.26761,0.17399,0.06283,1.90699,2.6437,0.01142,0.0186167,0.00620555,0.0186167,0.00620555,0.0186167,0.00620555,0.0186167,0.00620555
36,22803.9,2.06961,2.48616,0.01053,0.30178,0.26506,0.1738,0.06294,1.90698,2.64265,0.01142,0.0180471,0.0060157,0.0180471,0.0060157,0.0180471,0.0060157,0.0180471,0.0060157
37,23435,2.06347,2.48241,0.01056,0.30422,0.26611,0.17431,0.06305,1.90705,2.64135,0.01143,0.0174731,0.00582435,0.0174731,0.00582435,0.0174731,0.00582435,0.0174731,0.00582435
38,24062.5,2.05767,2.46414,0.01049,0.30486,0.26497,0.17444,0.06322,1.90642,2.64147,0.01142,0.0168954,0.00563181,0.0168954,0.00563181,0.0168954,0.00563181,0.0168954,0.00563181
39,24692.7,2.05986,2.45944,0.01046,0.30447,0.26399,0.17446,0.06321,1.90559,2.64284,0.01141,0.0163151,0.00543837,0.0163151,0.00543837,0.0163151,0.00543837,0.0163151,0.00543837
40,25322.7,2.05258,2.44969,0.01051,0.30604,0.26514,0.17473,0.06325,1.9055,2.64243,0.01142,0.015733,0.00524434,0.015733,0.00524434,0.015733,0.00524434,0.015733,0.00524434
41,25950.4,2.05076,2.44591,0.01047,0.30432,0.26409,0.17464,0.06334,1.9053,2.64227,0.01142,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
42,26579.4,2.0399,2.43818,0.01042,0.30568,0.26315,0.17473,0.06336,1.90527,2.64172,0.01143,0.014567,0.00485566,0.014567,0.00485566,0.014567,0.00485566,0.014567,0.00485566
43,27205.3,2.04151,2.41616,0.01039,0.30475,0.26215,0.17464,0.06333,1.90495,2.64269,0.01143,0.0139849,0.00466163,0.0139849,0.00466163,0.0139849,0.00466163,0.0139849,0.00466163
44,27834.2,2.03972,2.41154,0.01038,0.30418,0.26176,0.17462,0.06345,1.90465,2.64357,0.01142,0.0134046,0.00446819,0.0134046,0.00446819,0.0134046,0.00446819,0.0134046,0.00446819
45,28462,2.03115,2.39607,0.01036,0.30004,0.26206,0.17452,0.06325,1.90391,2.64532,0.01142,0.0128269,0.00427565,0.0128269,0.00427565,0.0128269,0.00427565,0.0128269,0.00427565
46,29088.4,2.02698,2.39031,0.01032,0.3012,0.26035,0.17428,0.0634,1.90424,2.64591,0.01142,0.0122529,0.0040843,0.0122529,0.0040843,0.0122529,0.0040843,0.0122529,0.0040843
47,29713.6,2.02657,2.37426,0.01029,0.29937,0.25864,0.17432,0.06354,1.9034,2.64797,0.01142,0.0116833,0.00389445,0.0116833,0.00389445,0.0116833,0.00389445,0.0116833,0.00389445
48,30339.9,2.0186,2.3609,0.0103,0.29801,0.25924,0.17451,0.06358,1.90281,2.65045,0.01142,0.0111191,0.00370637,0.0111191,0.00370637,0.0111191,0.00370637,0.0111191,0.00370637
