epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,20864.9,1.99405,2.4373,0.01017,0.28404,0.26574,0.17708,0.06424,1.88714,2.65239,0.01145,0.0055057,0.00183523,0.0055057,0.00183523,0.0055057,0.00183523,0.0055057,0.00183523
31,21497.3,1.94638,2.45997,0.01156,0.28703,0.2641,0.17702,0.0643,1.88644,2.65239,0.01144,0.00464946,0.00154982,0.00464946,0.00154982,0.00464946,0.00154982,0.00464946,0.00154982
32,22141.8,1.94311,2.43948,0.01148,0.28857,0.26312,0.17693,0.06435,1.88618,2.6523,0.01144,0.00385797,0.00128599,0.00385797,0.00128599,0.00385797,0.00128599,0.00385797,0.00128599
33,729.239,1.9782,2.47486,0.01021,0.28545,0.26526,0.17766,0.06451,1.88652,2.65099,0.01145,0.0031361,0.00104537,0.0031361,0.00104537,0.0031361,0.00104537,0.0031361,0.00104537
34,1456.54,1.9746,2.46538,0.01019,0.28837,0.26354,0.17822,0.06471,1.88604,2.65128,0.01145,0.00248829,0.000829431,0.00248829,0.000829431,0.00248829,0.000829431,0.00248829,0.000829431
35,2185.51,1.97713,2.44813,0.01004,0.28518,0.26568,0.17876,0.06484,1.88614,2.65092,0.01145,0.00191855,0.000639518,0.00191855,0.000639518,0.00191855,0.000639518,0.00191855,0.000639518
36,2911.67,1.96714,2.4297,0.01003,0.28524,0.2661,0.1792,0.06516,1.88555,2.6516,0.01145,0.00143039,0.000476796,0.00143039,0.000476796,0.00143039,0.000476796,0.00143039,0.000476796
37,3641.72,1.96004,2.43044,0.01001,0.2867,0.26633,0.17942,0.06522,1.88545,2.65176,0.01145,0.00102681,0.00034227,0.00102681,0.00034227,0.00102681,0.00034227,0.00102681,0.00034227
38,4369.92,1.95798,2.42674,0.01001,0.28743,0.26601,0.1799,0.06534,1.8852,2.65222,0.01145,0.000710307,0.000236769,0.000710307,0.000236769,0.000710307,0.000236769,0.000710307,0.000236769
39,5097.66,1.96163,2.42278,0.01002,0.28498,0.26713,0.17999,0.06534,1.88536,2.65312,0.01145,0.000482828,0.000160943,0.000482828,0.000160943,0.000482828,0.000160943,0.000482828,0.000160943
40,5819.22,1.95595,2.40953,0.01,0.28589,0.26678,0.18,0.06532,1.88546,2.65386,0.01146,0.000345778,0.000115259,0.000345778,0.000115259,0.000345778,0.000115259,0.000345778,0.000115259
