epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,484.164,2.87516,5.21688,0.00285,0.06627,0.04321,0.01182,0.00355,2.38924,3.70135,0.00249,5.29413e-05,5.29413e-05,5.29413e-05
2,648.039,2.45153,3.48425,0.00212,0.12211,0.05792,0.01927,0.0062,2.29283,3.18558,0.00235,0.00010463,0.00010463,0.00010463
3,811.335,2.39765,3.21798,0.00201,0.08334,0.05383,0.019,0.00593,2.26345,3.07689,0.00232,0.000155008,0.000155008,0.000155008
4,972.457,2.36713,3.1002,0.00201,0.06031,0.06059,0.02375,0.00763,2.24885,2.95047,0.00231,0.000153097,0.000153097,0.000153097
5,1135.18,2.35041,3.00957,0.00197,0.12842,0.06689,0.02395,0.00773,2.22705,2.92808,0.00227,0.000151129,0.000151129,0.000151129
6,1298.88,2.34589,2.96449,0.00195,0.14604,0.0796,0.02785,0.00885,2.21383,2.87449,0.00224,0.000149162,0.000149162,0.000149162
7,1462.34,2.32575,2.90027,0.00189,0.19488,0.08793,0.0318,0.01002,2.21524,2.86448,0.00226,0.000147194,0.000147194,0.000147194
8,1625.39,2.3164,2.86947,0.00193,0.20399,0.09136,0.03593,0.01218,2.20145,2.83087,0.00224,0.000145227,0.000145227,0.000145227
9,1787.54,2.30819,2.85642,0.00196,0.22144,0.09647,0.03422,0.01108,2.20432,2.80319,0.00223,0.000143259,0.000143259,0.000143259
10,1953.5,2.33784,2.82345,0.00193,0.1661,0.09356,0.03467,0.01148,2.20584,2.80953,0.00225,0.000141291,0.000141291,0.000141291
11,2116,2.30469,2.76904,0.00185,0.21602,0.09642,0.03741,0.01272,2.20216,2.78363,0.00224,0.000139324,0.000139324,0.000139324
12,2335.72,2.29836,2.76985,0.00187,0.24623,0.09661,0.03811,0.01303,2.18442,2.7682,0.00221,0.000137356,0.000137356,0.000137356
13,2499.1,2.2942,2.77333,0.00188,0.12151,0.10467,0.03794,0.01237,2.19438,2.78711,0.00222,0.000135388,0.000135388,0.000135388
14,2661.22,2.28795,2.73266,0.0019,0.22749,0.09999,0.04055,0.0136,2.19014,2.7418,0.00223,0.000133421,0.000133421,0.000133421
15,2917.22,2.3039,2.73224,0.00187,0.23002,0.10776,0.04386,0.01473,2.19398,2.74304,0.00223,0.000131453,0.000131453,0.000131453
16,3081.42,2.28931,2.73006,0.00189,0.27202,0.11021,0.0406,0.01446,2.1824,2.77252,0.00221,0.000129486,0.000129486,0.000129486
17,3244.76,2.28103,2.69318,0.00185,0.27373,0.09915,0.04174,0.01393,2.19764,2.72028,0.00222,0.000127518,0.000127518,0.000127518
18,3408.24,2.29158,2.71393,0.00189,0.30818,0.10142,0.03856,0.01295,2.19952,2.75032,0.00223,0.00012555,0.00012555,0.00012555
19,3570.28,2.28288,2.67893,0.00186,0.12024,0.119,0.03992,0.01339,2.18189,2.72133,0.00221,0.000123583,0.000123583,0.000123583
20,3731.67,2.26511,2.65937,0.00186,0.2429,0.11612,0.04208,0.01418,2.19413,2.72381,0.00222,0.000121615,0.000121615,0.000121615
21,3893.48,2.25197,2.65621,0.00188,0.18841,0.11289,0.03945,0.01328,2.19229,2.76252,0.00223,0.000119647,0.000119647,0.000119647
22,4057.37,2.28819,2.66255,0.00185,0.1598,0.13057,0.04554,0.01601,2.1832,2.75592,0.00221,0.00011768,0.00011768,0.00011768
23,4219.85,2.25924,2.64495,0.00185,0.20905,0.12064,0.04569,0.01589,2.18173,2.73379,0.00222,0.000115712,0.000115712,0.000115712
24,4381.73,2.27244,2.6148,0.00183,0.11566,0.11767,0.04156,0.01452,2.18416,2.7671,0.0022,0.000113745,0.000113745,0.000113745
25,4543.18,2.24637,2.62522,0.00185,0.22453,0.11127,0.0467,0.01619,2.18888,2.70944,0.00221,0.000111777,0.000111777,0.000111777
26,4706.4,2.25043,2.61025,0.00184,0.11667,0.12818,0.04288,0.01471,2.18807,2.71889,0.00222,0.000109809,0.000109809,0.000109809
27,4870.69,2.26845,2.62468,0.00183,0.13477,0.12408,0.04848,0.017,2.18109,2.70203,0.0022,0.000107842,0.000107842,0.000107842
28,5033.16,2.25853,2.61857,0.00186,0.10853,0.12358,0.04455,0.01547,2.18274,2.73988,0.00221,0.000105874,0.000105874,0.000105874
29,5196.48,2.24769,2.59452,0.00182,0.07602,0.13869,0.04546,0.01555,2.18677,2.73311,0.00221,0.000103906,0.000103906,0.000103906
30,5358.86,2.24547,2.5822,0.00184,0.24298,0.1182,0.04675,0.0163,2.18501,2.72893,0.00222,0.000101939,0.000101939,0.000101939
31,5584.84,2.2582,2.56758,0.00181,0.15773,0.12621,0.04594,0.01574,2.17329,2.72357,0.00219,9.99712e-05,9.99712e-05,9.99712e-05
32,5873.76,2.23113,2.58351,0.00185,0.20151,0.12207,0.04835,0.01638,2.17788,2.7551,0.00221,9.80036e-05,9.80036e-05,9.80036e-05
33,6036.14,2.23949,2.56581,0.00184,0.11437,0.1338,0.04827,0.01673,2.17157,2.73261,0.00219,9.6036e-05,9.6036e-05,9.6036e-05
