epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,22828.9,1.91213,2.35332,0.01235,0.28008,0.27055,0.17639,0.06106,2.02978,2.54282,0.01254,0.0055057,0.00183523,0.0055057,0.00183523,0.0055057,0.00183523,0.0055057,0.00183523
31,23585,1.86744,2.34052,0.01372,0.27672,0.27225,0.17724,0.06149,2.02568,2.54015,0.0125,0.00464946,0.00154982,0.00464946,0.00154982,0.00464946,0.00154982,0.00464946,0.00154982
32,24307.8,1.85875,2.31903,0.01359,0.27516,0.27183,0.17811,0.06193,2.02285,2.53778,0.01247,0.00385797,0.00128599,0.00385797,0.00128599,0.00385797,0.00128599,0.00385797,0.00128599
33,25065.3,1.84819,2.29939,0.01355,0.27499,0.27268,0.17908,0.06241,2.01977,2.5366,0.01245,0.0031361,0.00104537,0.0031361,0.00104537,0.0031361,0.00104537,0.0031361,0.00104537
34,25798.3,1.84873,2.27949,0.01359,0.27646,0.27305,0.17966,0.06261,2.01842,2.53504,0.01242,0.00248829,0.000829431,0.00248829,0.000829431,0.00248829,0.000829431,0.00248829,0.000829431
35,26534.9,1.83991,2.2632,0.01342,0.27891,0.27503,0.17991,0.06283,2.01619,2.53476,0.0124,0.00191855,0.000639518,0.00191855,0.000639518,0.00191855,0.000639518,0.00191855,0.000639518
36,27229.2,1.83079,2.24887,0.01345,0.28337,0.2743,0.18046,0.06318,2.0148,2.53434,0.01239,0.00143039,0.000476796,0.00143039,0.000476796,0.00143039,0.000476796,0.00143039,0.000476796
37,27960.1,1.83347,2.24163,0.01333,0.28602,0.27435,0.181,0.06343,2.01368,2.53407,0.01238,0.00102681,0.00034227,0.00102681,0.00034227,0.00102681,0.00034227,0.00102681,0.00034227
38,28651.3,1.82983,2.24367,0.01336,0.28614,0.27427,0.1814,0.0636,2.01344,2.53412,0.01238,0.000710307,0.000236769,0.000710307,0.000236769,0.000710307,0.000236769,0.000710307,0.000236769
39,29378.3,1.82629,2.22356,0.01331,0.28376,0.27551,0.18153,0.06365,2.01371,2.53422,0.01238,0.000482828,0.000160943,0.000482828,0.000160943,0.000482828,0.000160943,0.000482828,0.000160943
40,30079.9,1.82541,2.22628,0.01331,0.2836,0.27599,0.18192,0.06378,2.0136,2.53505,0.01238,0.000345778,0.000115259,0.000345778,0.000115259,0.000345778,0.000115259,0.000345778,0.000115259
