epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,21261.1,1.99984,2.34621,0.01019,0.29892,0.2717,0.1858,0.06671,1.90966,2.59012,0.01151,0.0055057,0.00183523,0.0055057,0.00183523,0.0055057,0.00183523,0.0055057,0.00183523
31,21969.6,1.95336,2.36003,0.01156,0.29803,0.27076,0.18591,0.06677,1.9086,2.59034,0.0115,0.00464946,0.00154982,0.00464946,0.00154982,0.00464946,0.00154982,0.00464946,0.00154982
32,22633.3,1.94607,2.3301,0.01146,0.29636,0.27021,0.18615,0.06687,1.90709,2.59191,0.01148,0.00385797,0.00128599,0.00385797,0.00128599,0.00385797,0.00128599,0.00385797,0.00128599
33,23339.4,1.93744,2.3074,0.01144,0.29846,0.27059,0.18631,0.06702,1.90741,2.59224,0.0115,0.0031361,0.00104537,0.0031361,0.00104537,0.0031361,0.00104537,0.0031361,0.00104537
34,24059.9,1.92797,2.28731,0.01143,0.29792,0.27085,0.18648,0.06738,1.9079,2.59254,0.0115,0.00248829,0.000829431,0.00248829,0.000829431,0.00248829,0.000829431,0.00248829,0.000829431
35,24774.4,1.92655,2.26355,0.0113,0.29758,0.27127,0.18683,0.06738,1.9088,2.5934,0.0115,0.00191855,0.000639518,0.00191855,0.000639518,0.00191855,0.000639518,0.00191855,0.000639518
36,774.95,1.97299,2.3589,0.01015,0.29715,0.27158,0.18743,0.06749,1.90953,2.59285,0.01152,0.00143039,0.000476796,0.00143039,0.000476796,0.00143039,0.000476796,0.00143039,0.000476796
37,1526.57,1.96902,2.35525,0.01015,0.30027,0.27249,0.18787,0.06754,1.90952,2.5939,0.01152,0.00102681,0.00034227,0.00102681,0.00034227,0.00102681,0.00034227,0.00102681,0.00034227
38,2275.94,1.97399,2.3372,0.01002,0.30169,0.27288,0.18797,0.06771,1.90978,2.59461,0.01153,0.000710307,0.000236769,0.000710307,0.000236769,0.000710307,0.000236769,0.000710307,0.000236769
39,3025.41,1.96679,2.32404,0.01001,0.29971,0.27445,0.18839,0.06765,1.91004,2.59554,0.01154,0.000482828,0.000160943,0.000482828,0.000160943,0.000482828,0.000160943,0.000482828,0.000160943
40,3778.39,1.96374,2.32459,0.01001,0.30259,0.27178,0.18843,0.06745,1.91122,2.59579,0.01155,0.000345778,0.000115259,0.000345778,0.000115259,0.000345778,0.000115259,0.000345778,0.000115259
