epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,19008.9,2.07289,5.29989,0.00827,0.48099,0.10265,0.05886,0.02106,1.90604,5.56714,0.00894,0.0213671,0.00712237,0.0213671,0.00712237,0.0213671,0.00712237,0.0213671,0.00712237
31,19628.3,2.06971,5.26533,0.00825,0.48191,0.1034,0.05908,0.02114,1.90541,5.56621,0.00893,0.0208328,0.00694428,0.0208328,0.00694428,0.0208328,0.00694428,0.0208328,0.00694428
32,20250.3,2.06747,5.23632,0.00823,0.48302,0.10397,0.05903,0.02114,1.9047,5.56568,0.00892,0.0202898,0.00676328,0.0202898,0.00676328,0.0202898,0.00676328,0.0202898,0.00676328
33,20867.7,2.05418,5.23482,0.00818,0.51046,0.10376,0.05938,0.02121,1.9031,5.56695,0.00891,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963
34,21487.1,2.06278,5.18869,0.00815,0.51047,0.10373,0.0597,0.02134,1.90245,5.56781,0.0089,0.0191809,0.00639363,0.0191809,0.00639363,0.0191809,0.00639363,0.0191809,0.00639363
35,22106,2.05368,5.18958,0.00817,0.48212,0.10336,0.05972,0.02135,1.90199,5.5671,0.0089,0.0186167,0.00620555,0.0186167,0.00620555,0.0186167,0.00620555,0.0186167,0.00620555
36,22730,2.0441,5.15815,0.00813,0.53062,0.10404,0.05972,0.02133,1.90136,5.56753,0.0089,0.0180471,0.0060157,0.0180471,0.0060157,0.0180471,0.0060157,0.0180471,0.0060157
37,23346.6,2.05149,5.12744,0.00813,0.49848,0.10312,0.05953,0.0213,1.90116,5.56931,0.0089,0.0174731,0.00582435,0.0174731,0.00582435,0.0174731,0.00582435,0.0174731,0.00582435
38,23967.9,2.0447,5.11814,0.00817,0.52385,0.10304,0.05985,0.02138,1.89948,5.57042,0.00889,0.0168954,0.00563181,0.0168954,0.00563181,0.0168954,0.00563181,0.0168954,0.00563181
39,24631.8,2.04246,5.07405,0.00808,0.52356,0.10413,0.05993,0.02145,1.89894,5.57167,0.00889,0.0163151,0.00543837,0.0163151,0.00543837,0.0163151,0.00543837,0.0163151,0.00543837
40,25412,2.0413,5.06128,0.00808,0.49346,0.10522,0.05995,0.02153,1.89904,5.57256,0.00889,0.015733,0.00524434,0.015733,0.00524434,0.015733,0.00524434,0.015733,0.00524434
41,26037.2,2.03235,5.02548,0.00806,0.49627,0.10436,0.0601,0.02162,1.89789,5.57364,0.00889,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
42,26655.8,2.02907,5.00616,0.00806,0.49659,0.10416,0.06011,0.02164,1.8974,5.57755,0.00889,0.014567,0.00485566,0.014567,0.00485566,0.014567,0.00485566,0.014567,0.00485566
43,27274.7,2.02652,4.97735,0.008,0.49771,0.1036,0.06015,0.02164,1.89662,5.58041,0.00887,0.0139849,0.00466163,0.0139849,0.00466163,0.0139849,0.00466163,0.0139849,0.00466163
44,27894.9,2.02291,4.94647,0.00798,0.49124,0.10406,0.06009,0.02167,1.89546,5.58614,0.00887,0.0134046,0.00446819,0.0134046,0.00446819,0.0134046,0.00446819,0.0134046,0.00446819
45,28516.3,2.01544,4.90634,0.00797,0.46327,0.10396,0.06017,0.02169,1.89441,5.5916,0.00887,0.0128269,0.00427565,0.0128269,0.00427565,0.0128269,0.00427565,0.0128269,0.00427565
46,29136.2,2.01917,4.87539,0.00792,0.4641,0.1032,0.06013,0.02171,1.89404,5.59688,0.00887,0.0122529,0.0040843,0.0122529,0.0040843,0.0122529,0.0040843,0.0122529,0.0040843
47,29756,2.01644,4.82695,0.00791,0.46795,0.1038,0.06007,0.02166,1.8936,5.60258,0.00886,0.0116833,0.00389445,0.0116833,0.00389445,0.0116833,0.00389445,0.0116833,0.00389445
